station_name,river_name,state,district,month,dissolved_oxygen,bod,ph,violation_reasons,risk_score,risk_category,label_confidence,risk_confidence,rule_based_explanation
"Patalganga river at Vyal Pump house,  Village. Vyal,  Taluka. Khalapur, District. Raigad.",Patalganga,,Raigad,Aug,6.7,4.0,7.8,BOD (4.0 > 3),0.85,Low Risk,High,High,Non-compliant because BOD is 4.00 mg/L (above 3). Risk category: Low Risk.
"Patalganga river at Khalapur pumping station, Village. Khalapur, Taluka. Khalapur, District. Raigad.",Patalganga,,Raigad,Aug,7.0,3.0,7.6,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Patalganga river at Savroli bridge, Village. Savroli,Taluka. Khalapur,District. Raigad.",Patalganga,,Raigad,Aug,6.8,3.2,7.7,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Patalganga river at Gagangiri Maharaj Temple, Village. Khopoli, Taluka. Khalapur, District. Raigad.",Patalganga,,Raigad,Aug,7.0,3.2,7.1,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Panvel creek at Kopra bridge, Village. Kopra,Taluka. Panvel, District. Raigad.",Panvel,,Raigad,Aug,6.8,3.4,7.4,BOD (3.4 > 3),0.34,Low Risk,High,High,Non-compliant because BOD is 3.40 mg/L (above 3). Risk category: Low Risk.
"Kundalika river at Roha bridge,  Village.Roha, Taluka. Roha, District. Raigad.",Kundalika,,Raigad,Aug,7.4,1.8,7.7,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Kundalika river at Are Khurd (Saline zone), Village.Arekhurd,Taluka. Roha, District. Raigad.",Kundalika,,Raigad,Aug,7.2,3.0,7.5,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Kundalika river near Salav bridge (Saline zone), Village.Salav, Taluka. Roha, District. Raigad.",Kundalika,,Raigad,Aug,6.6,3.8,7.5,BOD (3.8 > 3),0.68,Low Risk,High,High,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.
"Kundalika river at Dhatav at Jackwell , Village. Dhatav,Taluka. Roha, District. Raigad.",Kundalika,,Raigad,Aug,7.2,2.8,7.6,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Amba river at D/s of Waken bridge, Village. Waken phata, Taluka. Roha, District. Raigad. ( u/s of the jackwells of M/s Supreme Petrochemicals & MIDC )",Amba,,Raigad,Aug,7.4,2.8,7.8,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Pedhi river near road bridge at Dadhi. Pedhi village, Village. Dadhi. Pedhi, Taluka. Bhatkuli, District. Amravati.",Pedhi,,Amravati,Aug,4.3,4.8,8.1,DO (4.3 < 5); BOD (4.8 > 3),7.13,Low Risk,High,High,Non-compliant because DO is 4.30 mg/L (below 5); BOD is 4.80 mg/L (above 3). Risk category: Low Risk.
"Purna river near Achalpur. Amravati road bridge, Asegaon, Village. Asegaon,Taluka. Chandur Bazar, District. Amravati.",Purna,,Amravati,Aug,6.6,3.6,8.5,BOD (3.6 > 3),0.51,Low Risk,High,High,Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk.
Chandrabhaga river at chandur jahanpur thesil daryapur Dist- Amravati,Chandrabhaga,,Amravati,Aug,6.0,4.2,8.5,BOD (4.2 > 3),1.02,Low Risk,High,High,Non-compliant because BOD is 4.20 mg/L (above 3). Risk category: Low Risk.
"Purna river at Kolhapur Tal- Daryapur, Dist- Amravati",Purna,,Amravati,Aug,6.7,3.8,8.5,BOD (3.8 > 3),0.68,Low Risk,High,High,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.
"Penganga river at washim- risod road bridge, village asegaonpen, Tal-risod, dist- washim",Penganga,,Amravati,Aug,6.8,4.1,8.5,BOD (4.1 > 3),0.94,Low Risk,High,High,Non-compliant because BOD is 4.10 mg/L (above 3). Risk category: Low Risk.
"Purna River at Dhupeshwar at u/s of Malkapur water works, Malkapur, Dist.Akola",Purna,,Akola,Aug,7.0,4.4,8.6,BOD (4.4 > 3); pH (8.6 not in 6.5-8.5),1.56,Low Risk,High,High,Non-compliant because BOD is 4.40 mg/L (above 3); pH is 8.60 (outside 6.5-8.5). Risk category: Low Risk.
"Purna river at D/s of confluence of Morna and Purna, at Andura Village, Village. Andura, Taluka. Balapur, District. Akola.",Purna,,Akola,Aug,7.0,4.7,8.5,BOD (4.7 > 3),1.45,Low Risk,High,High,Non-compliant because BOD is 4.70 mg/L (above 3). Risk category: Low Risk.
Morna River D/s of Railway Bridge Akola ,Morna,,Akola,Aug,4.4,9.1,7.8,DO (4.4 < 5); BOD (9.1 > 3),9.99,Low Risk,High,High,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 9.10 mg/L (above 3). Risk category: Low Risk.
Penganga River at Mehkar .Buldana Bridge.Akola,Penganga,,Akola,Aug,6.8,4.0,8.2,BOD (4.0 > 3),0.85,Low Risk,High,High,Non-compliant because BOD is 4.00 mg/L (above 3). Risk category: Low Risk.
"Lonar surovar lake, near kamalja devi temple. Tal- lonar Dist- Buldhana",Lonar Surovar,,Akola,Aug,5.6,31.0,9.7,BOD (31.0 > 3); pH (9.7 not in 6.5-8.5),28.19,Moderate Risk,High,High,Non-compliant because BOD is 31.00 mg/L (above 3); pH is 9.70 (outside 6.5-8.5). Risk category: Moderate Risk.
"Kolar river before confluence with Kanhan river at Waregaon Bridge, Village. Waregaon, Taluka.Kamptee, District.Nagpur.",Kolar,,Nagpur,Aug,5.1,4.8,8.5,BOD (4.8 > 3),1.53,Low Risk,High,High,Non-compliant because BOD is 4.80 mg/L (above 3). Risk category: Low Risk.
"Kanhan river at U/s of M/s Vidarbha Paper Mills, Village. Sinora, Taluka. Parseoni, District. Nagpur.",Kanhan,,Nagpur,Aug,7.6,3.5,8.6,BOD (3.5 > 3); pH (8.6 not in 6.5-8.5),0.79,Low Risk,High,High,Non-compliant because BOD is 3.50 mg/L (above 3); pH is 8.60 (outside 6.5-8.5). Risk category: Low Risk.
"Kanhan river at D/s of M/s Vidarbha Paper Mills,  Village. Sinora, Taluka. Parseoni, District. Nagpur.",Kanhan,,Nagpur,Aug,7.0,4.4,8.6,BOD (4.4 > 3); pH (8.6 not in 6.5-8.5),1.56,Low Risk,High,High,Non-compliant because BOD is 4.40 mg/L (above 3); pH is 8.60 (outside 6.5-8.5). Risk category: Low Risk.
"Wardha river at Pulgaon Railway Bridge, Village. Pulgaon,Taluka . Wardha, District. Wardha.",Wardha,,Nagpur,Aug,6.9,3.0,8.5,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Kanhan river at D/s of Nagpur, Village. Agargaon, Taluka. Kuhi, District. Nagpur.",Kanhan,,Nagpur,Aug,6.4,3.6,8.2,BOD (3.6 > 3),0.51,Low Risk,High,High,Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk.
"Wainganga river after confluence with Kanhan river, Village. Ambhora,Taluka. Kuhi, District. Nagpur.",Wainganga,,Nagpur,Aug,6.2,3.8,8.2,BOD (3.8 > 3),0.68,Low Risk,High,High,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.
"Wena river at U/s of Mohata Mills, near Railway bridge on Wardha  Chandrapur Railway line, Village. Hinganghat, Taluka. Hinganghat, District. Wardha.",Wena,,Nagpur,Aug,6.8,3.0,8.2,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Wena river at D/s of Mohata Mills, near  bridge on Hinganghat. Wadner road,  Village. Hinganghat, Taluka. Hinganghat,  District. Wardha.",Wena,,Nagpur,Aug,6.4,3.2,8.2,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Nag river near ambazari lake, Dist- Nagpur",Nag,,Nagpur,Aug,6.1,4.6,7.5,BOD (4.6 > 3),1.36,Low Risk,High,High,Non-compliant because BOD is 4.60 mg/L (above 3). Risk category: Low Risk.
Nag river  near bhandewadi bridge Dist- Nagpur,Nag,,Nagpur,Aug,0.3,32.6,7.6,DO (0.3 < 5); BOD (32.6 > 3),62.79,High Risk,High,High,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 32.60 mg/L (above 3). Risk category: High Risk.
"Nag river  near asoli road bridge, bhandara road, Dist- Nagpur",Nag,,Nagpur,Aug,0.3,24.8,7.4,DO (0.3 < 5); BOD (24.8 > 3),56.15,High Risk,High,High,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 24.80 mg/L (above 3). Risk category: High Risk.
"Pilli river  near wanjara layout, kamptee road, Dist-Nagpur",Pilli,,Nagpur,Aug,1.2,13.9,7.5,DO (1.2 < 5); BOD (13.9 > 3),39.68,Moderate Risk,High,High,Non-compliant because DO is 1.20 mg/L (below 5); BOD is 13.90 mg/L (above 3). Risk category: Moderate Risk.
"Pilli river  near, vill-mankapur on koradi road, Dist- Nagpur",Pilli,,Nagpur,Aug,1.6,11.2,7.5,DO (1.6 < 5); BOD (11.2 > 3),34.18,Moderate Risk,High,High,Non-compliant because DO is 1.60 mg/L (below 5); BOD is 11.20 mg/L (above 3). Risk category: Moderate Risk.
"Wainganga river at D/s of Ellora Paper Mills, Village. Tumsar, Taluka. Tumsar, District. Bhandara.",Wainganga,,Bhandara,Aug,6.0,4.6,7.9,BOD (4.6 > 3),1.36,Low Risk,High,High,Non-compliant because BOD is 4.60 mg/L (above 3). Risk category: Low Risk.
"Wainganga river at U/s of Ellora Paper Mills, Village. Tumsar, Taluka. Tumsar, District. Bhandara.",Wainganga,,Bhandara,Aug,6.6,3.5,7.9,BOD (3.5 > 3),0.43,Low Risk,High,High,Non-compliant because BOD is 3.50 mg/L (above 3). Risk category: Low Risk.
"Wainganga river at kardha bridge, D/S of bhandara city, Dist- Bhandara",Wainganga,,Bhandara,Aug,5.8,4.5,7.9,BOD (4.5 > 3),1.28,Low Risk,High,High,Non-compliant because BOD is 4.50 mg/L (above 3). Risk category: Low Risk.
"Gosekhurd Dam village - Gosekhurd, pauni, Dist- Bhandara",Gosekhurd,,Bhandara,Aug,5.4,3.6,7.6,BOD (3.6 > 3),0.51,Low Risk,High,High,Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk.
"Wainganga river at Ashti, Village. Ashti, Taluka. Gondpipri, District.Chandrapur.",Wainganga,,Chandrapur,Aug,7.2,3.2,8.4,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Wardha river at confluence point of Penganga & Wardha. Village. Jugad, Taluka. Wani, District. Yavatmal.",Wardha,,Chandrapur,Aug,6.9,3.2,8.4,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Wardha river at D/s of ACC Ltd. Ghuggus near WCL pump house, Village. Ghuggus, Taluka. Chandrapur, District. Chandrapur.",Wardha,,Chandrapur,Aug,6.7,3.8,8.4,BOD (3.8 > 3),0.68,Low Risk,High,High,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.
"Wainganga river at U/s of Gaurav Paper Mills, near jackwell,  Village. Bramhpuri, Taluka. Chandrapur, District. Chandrapur.",Wainganga,,Chandrapur,Aug,7.0,4.5,7.5,BOD (4.5 > 3),1.28,Low Risk,High,High,Non-compliant because BOD is 4.50 mg/L (above 3). Risk category: Low Risk.
"Wainganga river at D/s of Gaurav Paper Mills, near jackwell,  Village. Bramhpuri, Taluka. Chandrapur, District. Chandrapur.",Wainganga,,Chandrapur,Aug,6.1,4.9,7.5,BOD (4.9 > 3),1.62,Low Risk,High,High,Non-compliant because BOD is 4.90 mg/L (above 3). Risk category: Low Risk.
"Penganga river near water supply scheme of Umarkhed M.C., Village. Belkhed,Taluka. Umarkhed, District. Yavatmal.",Penganga,,Chandrapur,Aug,7.1,3.6,8.4,BOD (3.6 > 3),0.51,Low Risk,High,High,Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk.
"Penganga river D/s of Isapur Dam, Village. Isapur,Taluka. Pusad,District. Yavatmal.",Penganga,,Chandrapur,Aug,6.8,3.7,8.4,BOD (3.7 > 3),0.6,Low Risk,High,High,Non-compliant because BOD is 3.70 mg/L (above 3). Risk category: Low Risk.
"Wardha river at D/s of Erai river at Hadasti near Arun Engg. Works, Village. Hadasti, Taluka. Chandrapur, District. Chandrapur.",Wardha,,Chandrapur,Aug,6.9,3.7,8.4,BOD (3.7 > 3),0.6,Low Risk,High,High,Non-compliant because BOD is 3.70 mg/L (above 3). Risk category: Low Risk.
"Wardha river at U/s of Erai river at Hadasti near Arun Engg. Works, Village. Hadasti, Taluka. Chandrapur, District. Chandrapur.",Wardha,,Chandrapur,Aug,7.0,3.5,8.3,BOD (3.5 > 3),0.43,Low Risk,High,High,Non-compliant because BOD is 3.50 mg/L (above 3). Risk category: Low Risk.
"Wardha river at U/s of ACC Ltd. Ghuggus near WCL pump house, Village. Ghuggus, Taluka. Chandrapur, District. Chandrapur.",Wardha,,Chandrapur,Aug,7.0,3.6,8.4,BOD (3.6 > 3),0.51,Low Risk,High,High,Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk.
"Wardha river at Rajura bridge, Village. Rajura, Taluka. Chandrapur, District. Chandrapur.",Wardha,,Chandrapur,Aug,7.0,3.3,8.4,BOD (3.3 > 3),0.26,Low Risk,High,High,Non-compliant because BOD is 3.30 mg/L (above 3). Risk category: Low Risk.
"Godavari river at U/s of Gangapur Dam, Village. Gangapur,Taluka. Nashik, District. Nashik.",Godavari,,Nashik,Aug,4.3,4.4,8.2,DO (4.3 < 5); BOD (4.4 > 3),6.79,Low Risk,High,High,Non-compliant because DO is 4.30 mg/L (below 5); BOD is 4.40 mg/L (above 3). Risk category: Low Risk.
"Godavari river at Ramkund, Village. Panchavati, Taluka. Nashik, District. Nashik.",Godavari,,Nashik,Aug,4.0,6.0,7.6,DO (4.0 < 5); BOD (6.0 > 3),10.55,Low Risk,High,High,Non-compliant because DO is 4.00 mg/L (below 5); BOD is 6.00 mg/L (above 3). Risk category: Low Risk.
"Godavari river at D/s of Nashik near Amardham, Village. GadgebabaMaharaj Nagar, Taluka . Nashik, District. Nashik.",Godavari,,Nashik,Aug,4.1,6.2,8.6,DO (4.1 < 5); BOD (6.2 > 3); pH (8.6 not in 6.5-8.5),10.29,Low Risk,High,High,Non-compliant because DO is 4.10 mg/L (below 5); BOD is 6.20 mg/L (above 3); pH is 8.60 (outside 6.5-8.5). Risk category: Low Risk.
"Godavari river near Someshwar Temple, Village. Someshwar, Taluka. Nashik, District. Nashik.",Godavari,,Nashik,Aug,5.6,3.0,9.1,pH (9.1 not in 6.5-8.5),2.18,Low Risk,High,High,Non-compliant because pH is 9.10 (outside 6.5-8.5). Risk category: Low Risk.
"Chikhali nallah meets Godavari river, Village. Chikhali, Taluka. Nashik, District. Nashik.",Chikhali Nallah Meets Godavari,,Nashik,Aug,3.0,8.8,7.9,DO (3.0 < 5); BOD (8.8 > 3),20.94,Low Risk,High,High,Non-compliant because DO is 3.00 mg/L (below 5); BOD is 8.80 mg/L (above 3). Risk category: Low Risk.
"Godavari river at Hanuman Ghat, Village. Nashik city, Taluka. Nashik, District. Nashik.",Godavari,,Nashik,Aug,4.8,4.8,8.4,DO (4.8 < 5); BOD (4.8 > 3),3.13,Low Risk,High,High,Non-compliant because DO is 4.80 mg/L (below 5); BOD is 4.80 mg/L (above 3). Risk category: Low Risk.
"Godavari river at Tapovan,Village. Tapovan, Taluka. Nashik, District. Nashik.",Godavari,,Nashik,Aug,5.1,4.6,8.4,BOD (4.6 > 3),1.36,Low Risk,High,High,Non-compliant because BOD is 4.60 mg/L (above 3). Risk category: Low Risk.
"Godavari river at Kapila. Godavari confluence point,  Village. Tapovan, Taluka. Nashik, District. Nashik.",Godavari,,Nashik,Aug,4.8,8.6,7.8,DO (4.8 < 5); BOD (8.6 > 3),6.37,Low Risk,High,High,Non-compliant because DO is 4.80 mg/L (below 5); BOD is 8.60 mg/L (above 3). Risk category: Low Risk.
"Godavari river at Saikheda village,  Village. Saikheda, Taluka. Niphad, District. Nashik.",Godavari,,Nashik,Aug,5.4,3.2,8.5,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Godavari river at Nandur.Madhmeshwar Dam, Village. Nandur, Taluka. Niphad, District. Nashik.",Godavari,,Nashik,Aug,5.0,4.4,9.3,BOD (4.4 > 3); pH (9.3 not in 6.5-8.5),4.1,Low Risk,High,High,Non-compliant because BOD is 4.40 mg/L (above 3); pH is 9.30 (outside 6.5-8.5). Risk category: Low Risk.
"Darna river at Chehedi water works (pumping station), Village. Chehedi, Taluka. Nashik, District. Nashik.",Darna,,Nashik,Aug,4.7,5.4,7.9,DO (4.7 < 5); BOD (5.4 > 3),4.44,Low Risk,High,High,Non-compliant because DO is 4.70 mg/L (below 5); BOD is 5.40 mg/L (above 3). Risk category: Low Risk.
"Darna river at Aswali ( Darna Dam),Village. Aswali,Taluka. Igatpuri,District. Nashik.",Darna,,Nashik,Aug,5.6,3.2,8.0,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Darna river at MES site pumping station, Village. Bhagur, Taluka. Nashik, District. Nashik.",Darna,,Nashik,Aug,5.4,4.8,8.1,BOD (4.8 > 3),1.53,Low Risk,High,High,Non-compliant because BOD is 4.80 mg/L (above 3). Risk category: Low Risk.
"Darna river at Bhagur pumping station near Pandhurli bridge, Village. Bhagur,Taluka. Nashik,District. Nashik.",Darna,,Nashik,Aug,5.5,4.8,7.8,BOD (4.8 > 3),1.53,Low Risk,High,High,Non-compliant because BOD is 4.80 mg/L (above 3). Risk category: Low Risk.
"Darna river at Sansari, Village. Sansari,Taluka. Nashik,District. Nashik.",Darna,,Nashik,Aug,4.6,5.6,7.1,DO (4.6 < 5); BOD (5.6 > 3),5.41,Low Risk,High,High,Non-compliant because DO is 4.60 mg/L (below 5); BOD is 5.60 mg/L (above 3). Risk category: Low Risk.
"Girna river at Malegaon road bridge, Village. Malegaon, Taluka. Malegaon, District. Nashik.",Girna,,Nashik,Aug,,,,,,Unknown,Insufficient,Unknown,"Insufficient core data (DO, BOD, pH all missing) to evaluate compliance."
"Tapi river at U/s, Bhusawal,Village. Bhusawal Railway Colony, Taluka. Bhusawal, District. Jalgaon.",Tapi,,Jalgaon,Aug,4.6,3.8,8.6,DO (4.6 < 5); BOD (3.8 > 3); pH (8.6 not in 6.5-8.5),4.24,Low Risk,High,High,Non-compliant because DO is 4.60 mg/L (below 5); BOD is 3.80 mg/L (above 3); pH is 8.60 (outside 6.5-8.5). Risk category: Low Risk.
"Tapi river at Ajnad village, Village.Ajnad , Taluka. Raver, District.Jalgaon.",Tapi,,Jalgaon,Aug,5.8,3.6,8.5,BOD (3.6 > 3),0.51,Low Risk,High,High,Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk.
"Bori river, D/S of Amalner, Village. Amalner, Taluka. Jalgaon, District. Jalgaon.",Bori,,Jalgaon,Aug,,,,,,Unknown,Insufficient,Unknown,"Insufficient core data (DO, BOD, pH all missing) to evaluate compliance."
"Hiwara river at  D/S of Pachora, Village. Pachora,Taluka. Jalgaon,District. Jalgaon.",Hiwara,,Jalgaon,Aug,,,,,,Unknown,Insufficient,Unknown,"Insufficient core data (DO, BOD, pH all missing) to evaluate compliance."
"Mor river  near Padalashe, Village. Padalashe,Taluka. Jalgaon, District. Jalgaon.",Mor,,Jalgaon,Aug,,,,,,Unknown,Insufficient,Unknown,"Insufficient core data (DO, BOD, pH all missing) to evaluate compliance."
"Titur river at  D/S of Chalisgaon, Village. Chalisgaon,Taluka. Jalgaon,District. Jalgaon.",Titur,,Jalgaon,Aug,,,,,,Unknown,Insufficient,Unknown,"Insufficient core data (DO, BOD, pH all missing) to evaluate compliance."
"Waghur river at. Sakegaon before Confluence with Tapi river, Village. Sakegaon,Taluka. Jalgaon,District. Jalgaon.",Waghur,,Jalgaon,Aug,5.4,3.6,8.7,BOD (3.6 > 3); pH (8.7 not in 6.5-8.5),1.24,Low Risk,High,High,Non-compliant because BOD is 3.60 mg/L (above 3); pH is 8.70 (outside 6.5-8.5). Risk category: Low Risk.
"Girna river at Jalgaon at intake of Girna pump huose, Village. Girna pump house area, Taluka. Jalgaon, District. Jalgaon.",Girna,,Jalgaon,Aug,5.2,4.4,8.7,BOD (4.4 > 3); pH (8.7 not in 6.5-8.5),1.92,Low Risk,High,High,Non-compliant because BOD is 4.40 mg/L (above 3); pH is 8.70 (outside 6.5-8.5). Risk category: Low Risk.
"Tapi river at Ubad village near Gujratborder, Village. Ubad, Taluka. Shahada, District. Nandurbar.",Tapi,,Dhule,Aug,4.2,6.0,8.1,DO (4.2 < 5); BOD (6.0 > 3),8.95,Low Risk,High,High,Non-compliant because DO is 4.20 mg/L (below 5); BOD is 6.00 mg/L (above 3). Risk category: Low Risk.
"Amravati river at D/s. of Dondaicha, Village. Dondaicha, Taluka. Dhule, District. Dhule.",Amravati,,Dhule,Aug,,,,,,Unknown,Insufficient,Unknown,"Insufficient core data (DO, BOD, pH all missing) to evaluate compliance."
"Burai river before confluence to Tapi river, Village. Mukudas, Taluka. Dhule, District. Dhule.",Burai,,Dhule,Aug,,,,,,Unknown,Insufficient,Unknown,"Insufficient core data (DO, BOD, pH all missing) to evaluate compliance."
"Gomai river D/s. of Shahada, Village. Shahada,Taluka. Dhule,District. Dhule.",Gomai,,Dhule,Aug,4.0,8.8,7.7,DO (4.0 < 5); BOD (8.8 > 3),12.94,Low Risk,High,High,Non-compliant because DO is 4.00 mg/L (below 5); BOD is 8.80 mg/L (above 3). Risk category: Low Risk.
"Kan river at Sakri water works, Village. Sakri, Taluka. Dhule, District. Dhule.",Kan,,Dhule,Aug,5.2,4.2,8.3,BOD (4.2 > 3),1.02,Low Risk,High,High,Non-compliant because BOD is 4.20 mg/L (above 3). Risk category: Low Risk.
"Panzara river, Near Panzarakan SSK Ltd, Village. Panzara,Taluka. Dhule, District. Dhule.",Panzara,,Dhule,Aug,5.0,4.0,8.3,BOD (4.0 > 3),0.85,Low Risk,High,High,Non-compliant because BOD is 4.00 mg/L (above 3). Risk category: Low Risk.
"Rangavali river at D/s of Navapur near Rangavali bridge, Village. Navapur, Taluka. Navapur, District. Nandurbar.",Rangavali,,Dhule,Aug,5.2,4.0,8.3,BOD (4.0 > 3),0.85,Low Risk,High,High,Non-compliant because BOD is 4.00 mg/L (above 3). Risk category: Low Risk.
"Nira river at Sarola bridge, Village. Sarola, Taluka.Bhor, District. Pune.",Nira,,Pune,Aug,4.5,6.2,7.9,DO (4.5 < 5); BOD (6.2 > 3),6.72,Low Risk,High,High,Non-compliant because DO is 4.50 mg/L (below 5); BOD is 6.20 mg/L (above 3). Risk category: Low Risk.
"Mutha river at Sangam bridge near Ganapathyghat, Village . Shivaji Nagar,  Taluka. Pune, District. Pune.",Mutha,,Pune,Aug,2.4,27.0,7.5,DO (2.4 < 5); BOD (27.0 > 3),41.23,Moderate Risk,High,High,Non-compliant because DO is 2.40 mg/L (below 5); BOD is 27.00 mg/L (above 3). Risk category: Moderate Risk.
"Mula - Mutha river at Mundhawa bridge,Village. Mundhawa,Taluka. Haweli,District. Pune.",River,,Pune,Aug,4.1,12.5,7.4,DO (4.1 < 5); BOD (12.5 > 3),15.29,Low Risk,High,High,Non-compliant because DO is 4.10 mg/L (below 5); BOD is 12.50 mg/L (above 3). Risk category: Low Risk.
"Mula river at Aundh bridge, Village. Aundhgaon,Taluka. Haweli, District. Pune.",Mula,,Pune,Aug,4.1,7.2,7.4,DO (4.1 < 5); BOD (7.2 > 3),10.77,Low Risk,High,High,Non-compliant because DO is 4.10 mg/L (below 5); BOD is 7.20 mg/L (above 3). Risk category: Low Risk.
"Mula river at Harrison bridge near Mula.Pawana sangam, Village. Bopodi,Taluka. Haweli, District. Pune.",Mula,,Pune,Aug,4.4,7.0,7.7,DO (4.4 < 5); BOD (7.0 > 3),8.2,Low Risk,High,High,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 7.00 mg/L (above 3). Risk category: Low Risk.
"Nira river at D/s of Jubilant Organosis,  Village. Nimbut, Taluka. Baramati, District. Pune.",Nira,,Pune,Aug,6.1,5.0,8.3,BOD (5.0 > 3),1.7,Low Risk,High,High,Non-compliant because BOD is 5.00 mg/L (above 3). Risk category: Low Risk.
"Nira river at U/s of Jubilant Organosis, Village. Nira (Dattaghat),Taluka. Baramati, District. Pune.",Nira,,Pune,Aug,6.7,3.8,8.3,BOD (3.8 > 3),0.68,Low Risk,High,High,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.
"Bhima river. Backwater of Ujani Dam, near raw water pump house, Village. Kumbargaon, Taluka. Indapur, District. Pune.",Bhima,,Pune,Aug,4.5,8.0,8.2,DO (4.5 < 5); BOD (8.0 > 3),8.26,Low Risk,High,High,Non-compliant because DO is 4.50 mg/L (below 5); BOD is 8.00 mg/L (above 3). Risk category: Low Risk.
"Mutha river near Veer Savarkar Bhavan, Village. Pune  M.C, Taluka. Pune, District .Pune.",Mutha,,Pune,Aug,2.2,28.0,7.4,DO (2.2 < 5); BOD (28.0 > 3),43.68,Moderate Risk,High,High,Non-compliant because DO is 2.20 mg/L (below 5); BOD is 28.00 mg/L (above 3). Risk category: Moderate Risk.
"Mutha river at Deccan bridge, Village. Deccan,Taluka. Pune, District. Pune.",Mutha,,Pune,Aug,2.1,28.0,7.4,DO (2.1 < 5); BOD (28.0 > 3),44.48,Moderate Risk,High,High,Non-compliant because DO is 2.10 mg/L (below 5); BOD is 28.00 mg/L (above 3). Risk category: Moderate Risk.
"Bhima river at Pune (Mutha river) at U/s of Vithalwadi near Shankar Mandir, Village. Vithalwadi, Taluka. Haweli, District. Pune.",Bhima,,Pune,Aug,1.3,26.0,7.5,DO (1.3 < 5); BOD (26.0 > 3),49.17,Moderate Risk,High,High,Non-compliant because DO is 1.30 mg/L (below 5); BOD is 26.00 mg/L (above 3). Risk category: Moderate Risk.
"Bhima river at D/s of Bundgarden, Village . Yerwada,Taluka. Haweli, District. Pune.",Bhima,,Pune,Aug,3.9,13.0,7.4,DO (3.9 < 5); BOD (13.0 > 3),17.31,Low Risk,High,High,Non-compliant because DO is 3.90 mg/L (below 5); BOD is 13.00 mg/L (above 3). Risk category: Low Risk.
"Bhima river after confluence with Mula.Mutha at Pargaon near Vasant Bandara,Village. Pargaon,Taluka. Daund, District. Pune.",Bhima,,Pune,Aug,3.2,13.5,7.3,DO (3.2 < 5); BOD (13.5 > 3),23.34,Low Risk,High,High,Non-compliant because DO is 3.20 mg/L (below 5); BOD is 13.50 mg/L (above 3). Risk category: Low Risk.
"Bhima river at Daund near Mahadev temple,Village. Daund, Taluka. Daund, District. Pune.",Bhima,,Pune,Aug,3.8,12.0,7.8,DO (3.8 < 5); BOD (12.0 > 3),17.26,Low Risk,High,High,Non-compliant because DO is 3.80 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.
