station_name,river_name,water_body_type,predicted_label,predicted_non_compliance_probability,top_positive_shap_features,top_negative_shap_features,shap_explanation_text
"Gosekhurd Dam village - Gosekhurd, pauni, Dist- Bhandara",Gosekhurd,Dam,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Vaitarna river near road bridge, Village. Gandhare, Taluka. Wada, District. Thane.",Vaitarna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Vashishti river at D/s of Three M Paper Mills near Chiplun water intake  jackwell,  Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",Vashishti,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna River at krishna ghat, miraj Dist-Sangli",Krishna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Waghur river at. Sakegaon before Confluence with Tapi river, Village. Sakegaon,Taluka. Jalgaon,District. Jalgaon.",Waghur,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Sea water at Nariman Point, Village. Colaba, Taluka. Colaba, District. Mumbai.",Sea,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Krishna river at Krishna bridge, ( Krishna river at NH.4 bridge ) Village. Karad, Taluka. Karad, District. Satara.",Krishna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Vashishti river at U/s of Pophali near Konphansawane bridge, Village. Pophali, Taluka. Chiplun, District. Ratnagiri.",Vashishti,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Godavari river at Saikheda village,  Village. Saikheda, Taluka. Niphad, District. Nashik.",Godavari,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Penganga river at washim- risod road bridge, village asegaonpen, Tal-risod, dist- washim",Penganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Savitri river at Dadli road bridge, Village. Dadli, Taluka. Mahad, District. Raigad.",Savitri,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Ulhas river at U/s of NRC Bund, Village. Mohane, Taluka. Kalyan, District. Thane.",Ulhas,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Indrayani river at D/s of Alandigaon, Village. Alandigaon, Taluka. Haweli, District. Pune.",Indrayani,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna River at nagthane KT weir, nagthane, Tal-Walwa, Dist-Sangli",Krishna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
Vashi Creek at Airoli Bridge,Vashi,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Mula.Mutha river at D/s of Theur, Village. Theur, Taluka. Haweli, District. Pune.",Mula.Mutha,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna river at Maighat, Village. Gawali gally, Taluka. Miraj,  District. Sangli.",Krishna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Urmodi river at Nagthne, Village. Nagthane,Taluka. Satara, District. Satara.",Urmodi,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Panchaganga river at Ichalkaranji near MIDC  intake well. Village. Shiradhwad  (Ichalkaranji ghat), Taluka.Hatkanangale, District. Kolhapur.",Panchaganga,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Purna River, Yeldari dam, Dist- Parbhani",Purna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Mutha river at Sangam bridge near Ganapathyghat, Village . Shivaji Nagar,  Taluka. Pune, District. Pune.",Mutha,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Sandoz nalla, Village. Sandozbaug,Taluka. Thane,District. Thane.",Sandoz,Nala,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Bassein creek at VasaiFort , Village. Bassein, Taluka. Vasai, District. Thane.",Bassein,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Godavari river at Ramkund, Village. Panchavati, Taluka. Nashik, District. Nashik.",Godavari,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Wainganga river at U/s of Ellora Paper Mills, Village. Tumsar, Taluka. Tumsar, District. Bhandara.",Wainganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Karambavane creek at Chiplun, Village. Karambavane, Taluka. Chiplun, District. Ratnagiri.",Karambavane,Creek,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Hiwara river at  D/S of Pachora, Village. Pachora,Taluka. Jalgaon,District. Jalgaon.",Hiwara,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Patalganga river at Savroli bridge, Village. Savroli,Taluka. Khalapur,District. Raigad.",Patalganga,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Mutha river at Sangam bridge near Ganapathyghat, Village . Shivaji Nagar,  Taluka. Pune, District. Pune.",Mutha,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Wardha river at D/s of ACC Ltd. Ghuggus near WCL pump house, Village. Ghuggus, Taluka. Chandrapur, District. Chandrapur.",Wardha,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Rangavali river at D/s of Navapur near Rangavali bridge, Village. Navapur, Taluka. Navapur, District. Nandurbar.",Rangavali,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Wena river at U/s of Mohata Mills, near Railway bridge on Wardha  Chandrapur Railway line, Village. Hinganghat, Taluka. Hinganghat, District. Wardha.",Wena,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
Morna River D/s of Railway Bridge Akola ,Morna,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Ulhas river at U/s of Badlapur water works, Village. Kulgaon, Taluka. Ambernath, District. Thane.",Ulhas,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Darna river at Aswali ( Darna Dam),Village. Aswali,Taluka. Igatpuri,District. Nashik.",Darna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Kundalika river near Salav bridge (Saline zone), Village.Salav, Taluka. Roha, District. Raigad.",Kundalika,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Pedhi river near road bridge at Dadhi. Pedhi village, Village. Dadhi. Pedhi, Taluka. Bhatkuli, District. Amravati.",Pedhi,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna river at Wai, Village. Wai,Taluka. Wai,District. Satara.",Krishna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Nira river at U/s of Jubilant Organosis, Village. Nira (Dattaghat),Taluka. Baramati, District. Pune.",Nira,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Sea water at Versova beach, Village. Versova, Taluka. Andheri, District. Mumbai.",Sea,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Penganga river near water supply scheme of Umarkhed M.C., Village. Belkhed,Taluka. Umarkhed, District. Yavatmal.",Penganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Bhima river. Backwater of Ujani Dam, near raw water pump house, Village. Kumbargaon, Taluka. Indapur, District. Pune.",Bhima,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Pawana river at Sangavigaon,  Village. Sangavigaon, Taluka. Haweli, District. Pune.",Pawana,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Colour chem  Nalla, Village. Majiwada,Taluka. Thane,District. Thane.",Colour Chem,Nala,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Girna river at Malegaon road bridge, Village. Malegaon, Taluka. Malegaon, District. Nashik.",Girna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Kundalika river at Dhatav at Jackwell , Village. Dhatav,Taluka. Roha, District. Raigad.",Kundalika,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
Penganga River at Mehkar .Buldana Bridge.Akola,Penganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Godavari river at Nandur.Madhmeshwar Dam, Village. Nandur, Taluka. Niphad, District. Nashik.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Tapi river at Ajnad village, Village.Ajnad , Taluka. Raver, District.Jalgaon.",Tapi,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna river at Rajapur Weir, Village. Rajapur, Taluka. Shirol, District. Kolhapur.",Krishna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Rangavali river at D/s of Navapur near Rangavali bridge, Village. Navapur, Taluka. Navapur, District. Nandurbar.",Rangavali,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",Manjra,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Bhatsa river at D/s of Pise Dam, Village. Pise, Taluka. Bhiwandi, District. Thane.",Bhatsa,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Ulhas creek at Mumbra Reti bunder, Village. Mumbra,Taluka. Thane, District. Thane.",Ulhas,Creek,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Wainganga river at Ashti, Village. Ashti, Taluka. Gondpipri, District.Chandrapur.",Wainganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Sea water at Charni road choupathy, Village. Girgaon, Taluka. Mumbai, District. Mumbai.",Sea,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Panzara river, Near Panzarakan SSK Ltd, Village. Panzara,Taluka. Dhule, District. Dhule.",Panzara,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Kanhan river at D/s of M/s Vidarbha Paper Mills,  Village. Sinora, Taluka. Parseoni, District. Nagpur.",Kanhan,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Tarapur MIDC Nalla ( Near Sump 2), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,Nala,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Wardha river at D/s of Erai river at Hadasti near Arun Engg. Works, Village. Hadasti, Taluka. Chandrapur, District. Chandrapur.",Wardha,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna river at Krishna. Venna Sangam Mahuli , Village. Mahuli,Taluka. Mahuli, District. Satara.",Krishna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Sea water at Charni road choupathy, Village. Girgaon, Taluka. Mumbai, District. Mumbai.",Sea,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Sea water at Gateway of India, Village. Colaba, Taluka. Colaba, District. Mumbai.",Sea,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Tarapur MIDC Nalla ( Near Sump 2), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,Nala,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Girna river at Jalgaon at intake of Girna pump huose, Village. Girna pump house area, Taluka. Jalgaon, District. Jalgaon.",Girna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna River at new haripur bridge, Tal- Miraj, Dist-Sangli",Krishna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Wainganga river at U/s of Gaurav Paper Mills, near jackwell,  Village. Bramhpuri, Taluka. Chandrapur, District. Chandrapur.",Wainganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Uttan sea at Bhayander, Village. Uttan, Taluka. Bhayander, District. Thane.",Uttan,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Godavari river at Dhalegaon, Village. Dhalegaon, Taluka. Pathari,  District. Parbhani.",Godavari,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Bhima river at Takli near Karnataka border, Village. Takali, Taluka. South Solapur,  District. Solapur.",Bhima,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Patalganga river at Savroli bridge, Village. Savroli,Taluka. Khalapur,District. Raigad.",Patalganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna river at Wai, Village. Wai,Taluka. Wai,District. Satara.",Krishna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Purna river at D/s of confluence of Morna and Purna, at Andura Village, Village. Andura, Taluka. Balapur, District. Akola.",Purna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Wardha river at Rajura bridge, Village. Rajura, Taluka. Chandrapur, District. Chandrapur.",Wardha,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Mula river at Harrison bridge near Mula.Pawana sangam, Village. Bopodi,Taluka. Haweli, District. Pune.",Mula,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Girna river at Malegaon road bridge, Village. Malegaon, Taluka. Malegaon, District. Nashik.",Girna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Mula - Mutha river at Mundhawa bridge,Village. Mundhawa,Taluka. Haweli,District. Pune.",River,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Pawana river at Kasarwadi, Village. Kasarwadi, Taluka. Haweli, District. Pune.",Pawana,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Bhima river after confluence with Mula.Mutha at Pargaon near Vasant Bandara,Village. Pargaon,Taluka. Daund, District. Pune.",Bhima,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Ulhas river at Jambhul water works, Village. Jambhul, Taluka. Ambernath, District. Thane.",Ulhas,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Pilli river  near wanjara layout, kamptee road, Dist-Nagpur",Pilli,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Purna river at Kolhapur Tal- Daryapur, Dist- Amravati",Purna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Pawana river at Pimprigaon, Village. Pimprigaon, Taluka. Haweli, District. Pune.",Pawana,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Dahanu Creek at Dahanu Fort, Village. Danugaon, Taluka. Dahanu, District. Thane.",Dahanu,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Krishna River at nagthane KT weir, nagthane, Tal-Walwa, Dist-Sangli",Krishna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Vashishti river at U/s of Three M Paper Mills near M/s Multifilms Plastic  Pvt. Ltd ., Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",Vashishti,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Wardha river at confluence point of Penganga & Wardha. Village. Jugad, Taluka. Wani, District. Yavatmal.",Wardha,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Venna river at  Mahabaleshwar, Village. Mahabaleshwar, Taluka. Mahabaleshwar, District. Satara.",Venna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Savitri river at Shedav Dov, Village. Shedav Dov, Taluka. Mahad, District. Raigad.",Savitri,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Savitri river at Ovale village, Village. Ovale, Taluka. Mahad, District. Raigad.",Savitri,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Godavari river at D/s of Nashik near Amardham, Village. GadgebabaMaharaj Nagar, Taluka . Nashik, District. Nashik.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Surya river at intake of Vasai.Virar water Scheme, Village. Masvan, Taluka. Palghar, District. Thane.",Surya,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Wainganga river at D/s of Gaurav Paper Mills, near jackwell,  Village. Bramhpuri, Taluka. Chandrapur, District. Chandrapur.",Wainganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Kharekuran Murbe creek , Village. Kharekuran, Taluka. Palghar, District. Thane.",Kharekuran Murbe,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Madvi sea water at Ratnagiri near Jodhale Maruti Temple,  Village. Madvigaon, Taluka. Ratnagiri, District. Ratnagiri.",Madvi,Sea,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Ujani dam pumping station, Dist- Solapur ",Ujani,Dam,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Ulhas creek at Reti bunder at D/s of Kalyan. Bhiwandi bridge, Village. Kalyan, Taluka. Kalyan, District. Thane.",Ulhas,Creek,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna river at Walwa, D/s of Islampur near Vithal Temple, Village. Walwa, Taluka. Walwa, District. Sangli.",Krishna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Wardha river at D/s of Erai river at Hadasti near Arun Engg. Works, Village. Hadasti, Taluka. Chandrapur, District. Chandrapur.",Wardha,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
Nag river  near bhandewadi bridge Dist- Nagpur,Nag,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Koyna River at Karad, Village. Karad,Taluka. Karad, District. Satara.",Koyna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
Vashi Creek at Vashi Bridge,Vashi,Creek,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Ulhas river at U/s of Badlapur water works, Village. Kulgaon, Taluka. Ambernath, District. Thane.",Ulhas,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Vel river at Shikrapur, Village. Shikrapur,Taluka. Shirur, District. Pune.",Vel,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Pedhi river near road bridge at Dadhi. Pedhi village, Village. Dadhi. Pedhi, Taluka. Bhatkuli, District. Amravati.",Pedhi,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Thane creek at Elephanta Island, Village. Elephanta Island , Taluka. Mumbai, District. Mumbai.",Thane,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Tarapur MIDC Nalla ( near Sump 1), Village. MIDC Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,Nala,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Krishna river at Krishna bridge, ( Krishna river at NH.4 bridge ) Village. Karad, Taluka. Karad, District. Satara.",Krishna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Vel river at Shikrapur, Village. Shikrapur,Taluka. Shirur, District. Pune.",Vel,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Bhatsa River at U/s of Liberty Oil Mills, Satnel, Shahapur, Thane.",Bhatsa,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Patalganga river at Shilphata bridge, Village.Khopoli,Taluka. Khalapur, District. Raigad.",Patalganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Wardha river at U/s of Erai river at Hadasti near Arun Engg. Works, Village. Hadasti, Taluka. Chandrapur, District. Chandrapur.",Wardha,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Bhima river at Pune (Mutha river) at U/s of Vithalwadi near Shankar Mandir, Village. Vithalwadi, Taluka. Haweli, District. Pune.",Bhima,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
